,Mẫu ,SL,,10S,QH,Chênh,,,,,,,,,,,,,,,,,,
 1 , Đất chung cư cao tầng ,"3.900,00",1,"1.620,00","1.620,00","1.659,00","42,54","1.584,36","11.090,52","9.870,56","771,12","12.674,88","13.446,00",1,7,"3,25",  -   ,273,36,,,,,
  , B6-CC-13 ,"3.900,00",1,"1.620,00","1.620,00","1.659,00","42,54","1.584,36","11.090,52","9.870,56","771,12","12.674,88","13.446,00",1,7,"3,25",  -   ,273,,"290,3106706",273,273,,
  ,Tòa I3 - 8 tầng,,1,"1.620,00","1.620,00","1.620,00",,"1.584,36","11.090,52","9.870,56","771,12","12.674,88","13.446,00",1,7,,,273,,"290,3106706",273,,,
 2 , Đất cây xanh nhóm ở ,"4.620,00",,,,"231,00","5,00",,,,,"231,00",,1,,"0,05",  -   ,,0,,,,,
  , B6-CXO-13 ,"4.620,00",,,,"231,00","5,00",,,,,"231,00",,1,,"0,05",,,,,,,,
 VIII , B6-NOXH-08 ,"9.720,00",1,"1.620,00","1.620,00","1.949,59","20,06","1.584,36","11.090,52","9.870,56","771,12","12.965,37","13.446,00",1,7,"1,33","  4,00 ",273,36,,,,,
 1 , Đất chung cư cao tầng ,"3.910,20",1,"1.620,00","1.620,00","1.659,10","42,43","1.584,36","11.090,52","9.870,56","771,12","12.674,88","13.446,00",1,7,"3,24",  -   ,273,36,,,,,
  , B6-CC-14 ,"3.910,20",1,"1.620,00","1.620,00","1.659,10","42,43","1.584,36","11.090,52","9.870,56","771,12","12.674,88","13.446,00",1,7,"3,24",  -   ,273,,"290,3106706",273,273,,
  ,Tòa I3 - 8 tầng,,1,"1.620,00","1.620,00","1.620,00",,"1.584,36","11.090,52","9.870,56","771,12","12.674,88","13.446,00",1,7,,,273,,"290,3106706",273,,,
 2 , Đất cây xanh nhóm ở ,"5.809,80",,,,"290,49","5,00",,,,,"290,49",,1,,"0,05",  -   ,,0,,,,,
  , B6-CXO-14 ,"5.809,80",,,,"290,49","5,00",,,,,"290,49",,1,,"0,05",,,,,,,,
 IX , Đường giao thông kết nối ,"43.196,84",1,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",1,7,"0,00","  4,00 ",,,"29677,37316",27904,27904,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"0,02",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"0,9402449418",,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Phương án lãnh đạo đã phê duyệt ,,,,,,,,Phương án đề xuất,,,,,,So sánh,,,,,,,,,,
,Tên lô đất,Diện tích đất,"Tổng diện tích tầng đế - tính MDXD
(m2)",Mật  độ XD tối đa,Tổng diện tích sàn XD tính hệ số SDD (4)=(1)+(2),Tổng diện tích sàn trên mặt đất  (5)=(4)+(3),Hệ số SDD,Diện tích đất,"Tổng diện tích tầng đế - tính MDXD
(m2)",Mật  độ XD tối đa,Tổng diện tích sàn XD tính hệ số SDD (4)=(1)+(2),Tổng diện tích sàn trên mặt đất  (5)=(4)+(3),Hệ số SDD,Diện tích đất,"Diện tích sàn
(tính SDD)",,,,,,,,,
,B6- CC1,"158.028,20","13.974,49","8,84","388.873,24","401.597,11","2,46","158.028,17","17.528,70","11,09","392.427,45","401.597,11","2,48",,,,,,,,,,,
"2,00",Đất chung cư cao tầng,"158.028,20","13.974,49","8,84","388.873,24","401.597,11","2,46","72.045,94","13.974,49","19,40","388.873,24","401.597,11","5,40","-85.982,26","0,00",,,,,,,,,
,Đất cây xanh nhóm ở,"0,00","0,00",,,,,"71.084,24","3.554,21","5,00","3.554,21",,"0,05","71.084,24","3.554,21",,,,,,,,,
,Đất bãi đỗ xe,"0,00",,,,,,#REF!,,,,,,#REF!,"0,00",,,,,,,,,
,Đất giao thông nội bộ,"0,00","35.242,48",,,,,"14.898,00",,,,,,"14.898,00","0,00",,,,,,,,,
,B6- CC2,"145.418,60","17.621,24","12,12","495.305,67","511.512,00","3,41","145.418,64","4.348,21","2,99","497.361,92","511.512,00","3,42","0,04","2.056,24",,,,,,,,,
"3,00",Đất chung cư cao tầng,"145.418,60","17.621,24","12,12","495.305,67","511.512,00","3,41","73.965,75","17.621,24","23,82","495.305,67","511.512,00","6,70","-71.452,85","0,00",,,,,,,,,
,Đất cây xanh nhóm ở,"0,00",,,,,,"41.124,88","2.056,24","5,00","2.056,24",,"0,05","41.124,88","2.056,24",,,,,,,,,
,Đất bãi đỗ xe,,,,,,,#REF!,,,,,,,,,,,,,,,,
,Đất giao thông nội bộ,"0,00","18.589,78",,,,,"30.328,01",,,,,,"30.328,01","0,00",,,,,,,,,
"4,00",B6- CC3,"122.750,70","9.294,89","7,57","259.248,83","267.731,41","2,11","122.750,70","12.337,76","10,05","262.291,70","267.731,41","2,14","0,00","3.042,87",,,,,,,,,
,Đất chung cư cao tầng,"122.750,70","9.294,89","7,57","259.248,83","267.731,41","2,11","45.886,89","9.294,89","20,26","259.248,83","267.731,41","5,65","-76.863,82","0,00",,,,,,,,,
,Đất cây xanh nhóm ở,"0,00",,,,,,"60.857,38","3.042,87","5,00","3.042,87",,"0,05","60.857,38","3.042,87",,,,,,,,,
,Đất bãi đỗ xe,,"3.318,03",,,,,#REF!,,,,,,,,,,,,,,,,
"5,00",B6- CC4,"7.980,00","1.659,01","20,79","12.674,88","13.446,00","1,59","7.980,00","1.862,94","23,35","12.878,81","13.446,00","1,61","0,00","203,93",,,,,,,,,
,Đất chung cư cao tầng,"7.980,00","1.659,01","20,79","12.674,88","13.446,00","1,59","3.901,39","1.659,01","42,52","12.674,88","13.446,00","3,25","-4.078,61","0,00",,,,,,,,,
